metric,old,new,absolute_change,relative_change_percent
common_feasible_primary_cases,67.0,66.0,-1.0,-1.492537313432836
event_success/new_task_arrival,99.0,99.0,0.0,0.0
event_success/service_location_invalidation,99.0,99.0,0.0,0.0
event_success/robot_failure,79.0,75.0,-4.0,-5.063291139240507
structural_failures,20.0,24.0,4.0,20.0
method/greedy/feasible_rate,93.05555555555556,91.66666666666667,-1.3888888888888857,-1.4925373134328324
method/greedy/makespan,139.0751335464817,144.7096532262578,5.634519679776105,4.051421369221936
method/greedy/time_ms,4.170879104477612,4.16300303030303,-0.007876074174581582,-0.18883487095385454
method/greedy/reassigned,1.8805970149253732,1.9545454545454546,0.07394843962008135,3.9321789321789287
method/greedy/locations,1.3134328358208955,1.3333333333333333,0.01990049751243772,1.5151515151515083
method/greedy/edges,10.776119402985074,11.090909090909092,0.3147896879240175,2.921178544447254
method/greedy_ls/feasible_rate,93.05555555555556,91.66666666666667,-1.3888888888888857,-1.4925373134328324
method/greedy_ls/makespan,138.64776084880867,144.27566474565276,5.627903896844089,4.059137963995793
method/greedy_ls/time_ms,13.161328358208955,13.344262121212122,0.18293376300316666,1.3899338883150623
method/greedy_ls/reassigned,1.8805970149253732,1.9545454545454546,0.07394843962008135,3.9321789321789287
method/greedy_ls/locations,2.1791044776119404,2.015151515151515,-0.16395296246042523,-7.523868825238692
method/greedy_ls/edges,13.104477611940299,13.090909090909092,-0.01356852103120687,-0.1035411058190046
method/dynamic_ails/feasible_rate,93.05555555555556,91.66666666666667,-1.3888888888888857,-1.4925373134328324
method/dynamic_ails/makespan,136.4309921217957,141.70455678757708,5.273564665781379,3.865371484708931
method/dynamic_ails/time_ms,1115.4637194029851,1077.5869424242426,-37.876776978742555,-3.3956081511117944
method/dynamic_ails/reassigned,2.746268656716418,2.6818181818181817,-0.06445047489823619,-2.3468379446640353
method/dynamic_ails/locations,3.8805970149253732,3.287878787878788,-0.5927182270465852,-15.273892773892772
method/dynamic_ails/edges,24.029850746268657,22.060606060606062,-1.969244685662595,-8.194993412384711
method/global_replan/feasible_rate,93.05555555555556,91.66666666666667,-1.3888888888888857,-1.4925373134328324
method/global_replan/makespan,141.4880711115917,146.07265633021703,4.584585218625335,3.2402627179852295
method/global_replan/time_ms,1238.7398014925373,1188.0707863636364,-50.66901512890081,-4.090367893874932
method/global_replan/reassigned,4.850746268656716,4.7272727272727275,-0.12347354138398892,-2.5454545454545405
method/global_replan/locations,11.761194029850746,10.530303030303031,-1.2308909995477144,-10.465697584986913
method/global_replan/edges,46.02985074626866,44.75757575757576,-1.2722749886928995,-2.764021538340605
dails_vs_greedy_aggregate_mean_reduction_percent,1.9012323463290342,2.076638546000923,0.17540619967188897,9.225921282612795
tradeoff/minimum_makespan/makespan,125.59836328519856,134.7185649890061,9.120201703807538,7.261401713570204
tradeoff/minimum_makespan/time_ms,1030.2064333333333,1030.800188888889,0.5937555555556173,0.05763461927086432
tradeoff/minimum_makespan/reassigned,2.7777777777777777,3.111111111111111,0.3333333333333335,12.000000000000007
tradeoff/minimum_makespan/locations,4.0,3.7777777777777777,-0.22222222222222232,-5.555555555555558
tradeoff/minimum_makespan/edges,25.88888888888889,21.444444444444443,-4.444444444444446,-17.167381974248933
tradeoff/disruption_aware/makespan,127.74159824520422,136.675036657753,8.933438412548782,6.99336671473356
tradeoff/disruption_aware/time_ms,1031.9673777777778,1023.6002222222222,-8.367155555555541,-0.8107965169958417
tradeoff/disruption_aware/reassigned,1.7777777777777777,2.2222222222222223,0.44444444444444464,25.000000000000014
tradeoff/disruption_aware/locations,0.6666666666666666,0.2222222222222222,-0.4444444444444444,-66.66666666666667
tradeoff/disruption_aware/edges,7.888888888888889,7.666666666666667,-0.22222222222222232,-2.8169014084507054
tradeoff_percent/edges_reduction,69.52789699570815,64.24870466321244,-5.279192332495711,-7.592912428836425
tradeoff_percent/reassignment_reduction,36.0,28.57142857142857,-7.428571428571431,-20.634920634920643
tradeoff_percent/makespan_increase,1.7064194977915221,1.4522658171919816,-0.2541536805995406,-14.893974250087432
progress/greedy/0.25/time_ms,4.067188888888889,4.331788888888889,0.2645999999999997,6.505721942810615
progress/greedy_ls/0.25/time_ms,11.672088888888888,12.060577777777777,0.38848888888888844,3.328357867962315
progress/dynamic_ails/0.25/time_ms,1089.911488888889,1062.6402888888888,-27.271200000000135,-2.5021481356987785
progress/global_replan/0.25/time_ms,1169.0730666666668,1156.4316666666666,-12.641400000000203,-1.0813182135864392
progress/greedy/0.50/time_ms,1.9495222222222222,1.8503222222222222,-0.09919999999999995,-5.0884262240890905
progress/greedy_ls/0.50/time_ms,7.70161111111111,7.953333333333333,0.25172222222222285,3.2684358972509444
progress/dynamic_ails/0.50/time_ms,1030.2064333333333,1030.800188888889,0.5937555555556173,0.05763461927086432
progress/global_replan/0.50/time_ms,1082.011511111111,1079.790177777778,-2.2213333333331775,-0.20529664523181493
progress/greedy/0.75/time_ms,0.7109888888888889,0.8336888888888888,0.12269999999999992,17.25765365922267
progress/greedy_ls/0.75/time_ms,5.3043000000000005,5.154088888888889,-0.15021111111111107,-2.8318743493224563
progress/dynamic_ails/0.75/time_ms,1011.1255111111111,1009.8497111111111,-1.2758000000000038,-0.12617622500672995
progress/global_replan/0.75/time_ms,1029.7176555555554,1027.4672111111113,-2.250444444444156,-0.2185496609000058
scale/greedy/S/successful,13.0,12.0,-1.0,-7.6923076923076925
scale/greedy/S/time_ms,0.20857692307692308,0.19739166666666666,-0.011185256410256417,-5.362652898149858
scale/greedy/S/cost,188.81240112257976,194.0245340864495,5.212132963869749,2.7604823268393033
scale/greedy_ls/S/successful,13.0,12.0,-1.0,-7.6923076923076925
scale/greedy_ls/S/time_ms,2.138146153846154,2.0459666666666667,-0.09217948717948721,-4.311187381352407
scale/greedy_ls/S/cost,188.62452898524214,194.0245340864495,5.40000510120737,2.8628329148166425
scale/dynamic_ails/S/successful,13.0,12.0,-1.0,-7.6923076923076925
scale/dynamic_ails/S/time_ms,1004.1447307692307,1003.0856083333333,-1.0591224358973932,-0.10547507778943843
scale/dynamic_ails/S/cost,186.37319471067954,193.76287585967557,7.389681148996033,3.9649914036552114
scale/global_replan/S/successful,13.0,12.0,-1.0,-7.6923076923076925
scale/global_replan/S/time_ms,1006.3389,1005.7900333333333,-0.5488666666666404,-0.054540937120351844
scale/global_replan/S/cost,186.37319471067954,193.76287585967557,7.389681148996033,3.9649914036552114
scale/greedy/M/successful,18.0,18.0,0.0,0.0
scale/greedy/M/time_ms,2.0044,1.8052333333333332,-0.19916666666666671,-9.93647309252977
scale/greedy/M/cost,139.97286712194656,147.55888839423883,7.586021272292271,5.419636982704091
scale/greedy_ls/M/successful,18.0,18.0,0.0,0.0
scale/greedy_ls/M/time_ms,8.0947,8.086005555555555,-0.008694444444444116,-0.10740910033039046
scale/greedy_ls/M/cost,139.63966774490302,146.940703514985,7.301035770081967,5.228482628173871
scale/dynamic_ails/M/successful,18.0,18.0,0.0,0.0
scale/dynamic_ails/M/time_ms,1036.2892222222222,1025.092661111111,-11.196561111111123,-1.0804475112750067
scale/dynamic_ails/M/cost,135.7582926751994,141.73827831622705,5.979985641027639,4.404876875797712
scale/global_replan/M/successful,18.0,18.0,0.0,0.0
scale/global_replan/M/time_ms,1085.9909722222224,1082.1004888888888,-3.8904833333335773,-0.35824269564346634
scale/global_replan/M/cost,138.45117771315088,145.18160359392132,6.73042588077044,4.86122689018567
scale/greedy/L/successful,18.0,18.0,0.0,0.0
scale/greedy/L/time_ms,10.98081111111111,10.744777777777777,-0.23603333333333332,-2.1495072717761183
scale/greedy/L/cost,111.34585192833667,114.25914814253696,2.9132962142002867,2.616438927671337
scale/greedy_ls/L/successful,18.0,18.0,0.0,0.0
scale/greedy_ls/L/time_ms,30.862277777777777,30.871644444444446,0.009366666666668522,0.03034988776302487
scale/greedy_ls/L/cost,110.96863455959239,113.86978143367469,2.9011468740823005,2.614384583171857
scale/dynamic_ails/L/successful,18.0,18.0,0.0,0.0
scale/dynamic_ails/L/time_ms,1339.9804833333335,1221.0907222222222,-118.88976111111128,-8.872499457257863
scale/dynamic_ails/L/cost,109.6150898634402,112.62211662531391,3.0070267618737034,2.7432598610464067
scale/global_replan/L/successful,18.0,18.0,0.0,0.0
scale/global_replan/L/time_ms,1698.6781666666666,1511.6829333333333,-186.99523333333332,-11.008279084452822
scale/global_replan/L/cost,119.98354659626797,118.90011872354904,-1.0834278727189286,-0.9029803697706567
